sponsor,author,name,description
AOSSIE - Australian Open Source Software Innovation and Education,Varun Chitre,Google Assistant Action for CarbonFootPrint,"Google Assistant Action for the Project CarbonFootPrint opens doors to conversational access to the rich emission data provisioned by this project. This Action allows you ask questions regarding carbon emissions by things around you. Be it about television usage or a trip to Switzerland. Simply say, 'Talk to CarbonFootPrint' in your Google Assistant and you are good to go! This action takes care of a wide variety of questions across all the categories supported by this project."
AOSSIE - Australian Open Source Software Innovation and Education,Vibhav Agarwal,Extending the reach of CrowdAlert with improved features and functionality,"CrowdAlert is a mobile app that can be used to report incidents from all around the world. This would help those affected with it and would also provide them with timely response. 

The main goal of my project is to implement more advanced features and bring more functionality to the React Native app. It includes adding features like 
- Edit incidents
- Improving UI/UX
- Adding offline support
- Sharing incidents
- More Signup options like Google, Twitter and Facebook
- Feed showing all the incidents from across the globe
- Push Notifications"
AOSSIE - Australian Open Source Software Innovation and Education,nveenjain,TRAINS EMISSION CALCULATION AND BETTER ERROR DETECTION,"I propose to implement Trains Emission for Carbon Footprint Extension, currently, it is implemented only for 5 sources(of France), I intend to implement it for India, UK,USA, Australlia, European countries (including norway, germany, italy, sweden, greece), Canada. I also intend to improve the error detection system of extension and start integrating bus services on sites like kayak."
AOSSIE - Australian Open Source Software Innovation and Education,prudhvi reddy,CarbonFootPrint-Mobile,CarbonFootprint Mobile is currently a react native application based on famous browser extension carbonfootprint that raises environmental awareness by tracking user activity and calculating carbon footprints.  at present the application is working normally for purpose to make sure the app is play store ready i have added some tweaks and features to this application in my proposal which makes users experience feel good on this application
AOSSIE - Australian Open Source Software Innovation and Education,rishz,Rishabh Shukla's proposal,The project is based on improving the existing Carbon Footprint API. Both front end as well as backend functionalities.
AerospaceResearch.net,Aakash Deep,Implementing Two-Line Element (TLE) Input / Output and using it for evaluation,The project is focused on two-line elements that how we can accurately determine satellite orbit using the information wrapped in it and then validating the results with externally available data.
AerospaceResearch.net,Arya Das,Lone Pseudoranger: Orbit position data analysis and interpolation (3D),"Enabling orbit determinator to predict orbits using real time data. It will be done using 5 steps:
1. Finding a set of Keplerian elements that approximate the orbit well.
2. Propagate the state until new observed data is available.
3. Fetch new observations.
4. Refine the estimate using Kalman filter.
5. Repeat steps 2 to 4.

Also, allowing orbit determinator to output the data in various ways (position, velocity or right ascension, declination or ground track or 3D plot)."
AerospaceResearch.net,Pedro12909,Universal Space Operation Center GUI,"# The Problem
The Universal Space Operations Center is a simple and easy-to-use ground station for space projects. It was initially developed to aid students in their space experiments. Since no experiment is the same, there was a need to create an application that adapted to each project’s needs. In it’s current state, the user has to use a configuration file to state what protocols/variables/graphs he is going to use during his experiment. However, the need to change the application’s layout is evident, and the student should not be forced to close the ground station, change the configuration file again, and re-open the application to resume his experiment. This goes against the initial principle of the groundstation.
# The Solution
There needs to be a way for the user to quickly and easily adapt the groundstation to his experiment, without having to worry too much about it. The goal of this project is to implement a set of new features that allow the user to manipulate the Ground Station’s data and layout. In order to accomplish this, I plan on creating a tool that allows the end user to specify exactly how he want his station to look and work."
AerospaceResearch.net,Shantanu Mishra,VisMa - VisualMath Equation Solver,"I have selected the project [gsoc18-k04] that is VisMa, which aims at showing steps for the solution of a given equation.

As of now this project is capable of simplifying equations in single variables and solving quadratic roots. I aim to extend the VisMa’s capabilities to support 
- calculus operations like integration, differentiation (including partial diff.) 
- multivariable equation simplification
- solving equations like polynomial equations and inequalities, and multivariable linear equations

I also intend to improve the GUI of VisMa and create modules which will help the user to interact with graphs/plots."
AerospaceResearch.net,Vinay C K,[gsoc18-a-dd6] DirectDemod: Decoding of Automatic Picture Transmission (NOAA),"One of the important functions of satellites is to provide us with weather data allowing us to properly plan and be prepared for adverse weather conditions. Major users of such data are fishermen or sailors. They need to know the positions of dangerous storms, hurricanes etc and allow them to move away from them. Generally, the weather images can be downloaded from the internet, but the ships rarely have an internet connection. Hence for this, one of the solutions is that NOAA weather satellites freely send the weather images and data down to earth continuously. This is perfect for us, the users can simply have a simple and cheap RTL-SDR device and capture this freely available weather data. Currently, this is possible, but there are no opensource tools that come with the complete package. Usually, one software is used to capture and demodulate FM and then the decoded audio is fed into the other software to decode the image. This complex procedure needs a human's manual input and the raw IQ file may be lost in the process. This project intends to solve this. The open source tool that will be developed will have all the required functionalities."
AerospaceResearch.net,perezhz,"Turning orbitdeterminator into a robust, reliable tool","As a GSoC project, I will continue the work done on  *orbitdeterminator*, so that we turn it into a robust, reliable tool, suitable for orbit determination of satellite, spacecraft and Solar System small-bodies. As part of a comprehensible test suite for orbitdeterminator, I will take data from JPL's radar astrometry database as well as Minor Planet Center's optical database in order to test orbitdeterminator output vs known orbits computed from radar and optical observations.

The specific goals I will pursue during GSoC 2018 are:

- Turn orbitdeterminator into a robust tool for orbit fitting, taking into account relevant physical effects into orbit model (e.g., non-gravitational accelerations).
- Add interpolation features.
- Add a test suite, with varied and meaningful test scenarios, as well as having continuous integration (CI) and code coverage online tools working for the GitHub repo.
- Test orbitdeterminator for Solar System small-bodies such as NEAs, taking raw data from JPL's radar astrometry and Minor Planet Center's optical data, and then comparing output to other solutions for NEAs.

Bonus:
- Design and implement an elementary multi-sensor multi-target system for the DGSN system."
Amahi,Chirag Maheshwari,Backend Improvements and New Feature Additions,"Amahi is a personal/home networking, storage and app server with features allowing users to access their files and apps remotely using android and ios clients. The current server client architecture works good but has room for improvements. The implementation of **HTTP/2 protocol** instead of the currently used SPDY/3.1 and HTTP/1.1 protocols would result in reduced latency and faster content downloading on modern clients. Also the addition of **caching mechanism** for the proxy server will reduce the data passing through the proxy server to a great extent. The main focus in this proposal is on improving the backend architecture and adding new features on the top like **secondary user login**, **friending** etc. and also addition of an app for the hda called **Amahi Sync** rewritten in golang. Other things include minor features, API addition and resolving bugs."
Amahi,Kanyinsola,Amahi iOS App Improvements and new Features,"Amahi is a personal/home cloud-based server. Currently, you can stream, view and access the files in your Amahi server using your iOS & Android device.

The Amahi iOS app has just basic functionality. I wish to add more functionalities to the Amahi iOS app to surpass the Android app functionalities. The following are my proposed deliverables before the end of the GSoC program.

Enhance the current Video Player’s functionality and make it a top-notch player by implementing gestures.

Implement Thumbnail previews for video and image files.

Implement a designated Audio Player for playing an audio playlist. 

Handling PDF/MOBI/EPUB files.

Add functionality to open and edit the contents of any file in a text editor inside the app. 

Implement file shares from HDA to other apps or users.

Multiple User Login.

Local storage to persist user preferences.

Adding functionality to UPLOAD new files to the shares directly from the mobile. 

Add dialog to display the properties of a file.

Fix app specific bugs and optimize app performance and stabilization."
Amahi,Sukhbir Singh,Gsoc Proposal: Amahi 11,"In this project, my work will mainly focuses on working as full stack developer for Amahi. I will implement new API endpoints which can be consumed by the amahi mobile applications. I will convert complete front-end to responsive design using bootstrap. There is also a need for proper documentation of Amahi backend APIs. Good documentation will serve as single point reference for all present developers and future contributors, which thus helps in expanding the Amahi community. In this project, I will also implement sharing of folders functionality among friends.

This project can be mainly divided into 3 parts:-

Part 1: Bootstrapping complete website

Part 2: Developing new API endpoints with documentation using swagger specification

Part 3: Implementing Sharing of Folders among friend’s server"
Amahi,arihant,Android App Imrovements,"The Aim of the project is to add more functionality to the Android app.

Following features can be implemented in the app: 
- Sharing of folders
- Secondary user login
- Support for remembering user preferences like audio position, video position, sorting option, etc.
- Support for displaying recent files
- Theme and Material Design implementation
- Adding automated UI testing protocol
- Implementing ExoPlayer for playing music
- And many more small features."
Amahi,sanjitchak,Amahi Express Install Disc,"I propose to build an Amahi Express Install Disc, powered by Fedora Server. In that, the user can install our Amahi Server without interacting with Command Line Interface (CLI).

The problem is that user doesn't like to use CLI. In this world of cutting-edge UI/UX interfaces, user abhors the CLI. So, I will add a module in the Installation Process, to setup Amahi Server where the user will need to type their Installation Code and server ID to setup server. 

Here, Anaconda GitHub repository and documentation for developing Anaconda addons along with documentation for Kickstart file will be used a lot. Anaconda parses Kickstart file to run any third-party python modules or addons to customize the installation process. I will develop these addons so that user will only need to input their login and password in the CLI to access the server."
Apache Software Foundation,Ahmed Ifhaam,Evolve DRAT web interface,"Apache DRAT is an open source Release Audit Tool. Which is distributed and parallelized (Map Reduce) wrapper around APACHE RATTM (Release Audit Tool) that goes far beyond RATTM by leveraging Apache OODTTM to dramatically speed up the process. Currently DRAT has two GUIs, the first one proteus which has the all four commands available in CLI drat tool and a summary view workflow GUI screen. The second one is Viz which is mostly a summary View. Both tools have problems showing errors from background process because most of the commands run as a process wrapper.
The objective of this project would be to combine both of the GUI web apps features in to one and give more productive single GUI."
Apache Software Foundation,Carlos Muñoz,GORA-535 Add a data store for Apache Ignite,"This GSoC project aims to implement a new backend for Apache Gora, specifically the distributed database Apache Ignite. This proposal focuses on the native persistence of Ignite, which will be integrated in Gora as a new data store. The new backend implementation willl boost Apache Gora and open new use cases opportunities for its applications. Moreover, the approach of integration proposed will facilitate future implementations of other databases."
Apache Software Foundation,Davis Joseph,Mapping Criminal Activity,I'm making a criminology gateway which would make data more accessible to those with the proper clearance by creating a web application that is easy to use and pick up to illustrate trends in criminal activity in areas of Indianapolis.
Apache Software Foundation,Deshani Geethika,[COMDEV-254] Allura - Personal Dashboard,"A nice improvement to Allura project/code hosting would be a personal dashboard when a user is logged in. It would provide quick access to the projects that the user is part of, tickets that created by the user, tickets assigned to the user, pull requests of the user, activity stream of people that the user follows, etc.

Many new tickets for the whole dashboard idea would have to be created to divide it into manageable tasks."
Apache Software Foundation,Dilpreet Singh,Fineract CN Mobile 2.0,"The development phase for Fineract CN Mobile 2.0 can be divided into these parts:-

- New Features like Multiple account login and maintain session, Passcode feature, Sync Adapter to sync clients, allow to edit Loan application feature if loan is not approved, adding new data views for pages like customer detail page according to API.
- Refactoring current features like changing the retrofit models in kotlin, improving the quality of the picture, adding review screen in every new records creation form."
Apache Software Foundation,Graham,Fineract CN SMS & Email Notifications,This project is a new feature request for the Apache Fineract CN. The SMS/Email Notifications service would be a microservice developed on Apache Fineract CN to enable MFI members to get notified on events occurring on their accounts. There are arrays of events occurring in other microservices therefore there is a need to streamline these events and notify MFI members of significant events. This will impact the KYC of the organisation and the user experience. This problem has led to the need for a microservice such as this one to be developed to enable MFI staff to select notifications which need to be sent or the member choose specific events during account creation.
Apache Software Foundation,Guobao LI,[SYSTEMML-2083] Language and runtime for parameter servers,"The project aims to provide a compiler extension and runtime for a new ""paramserv"" built-in function. In the context of large-scale machine learning, it will bring more performance when training a model with a data-parallel and model-parallel parameter server. SystemML already supports the data-parallel and task-parallel operator. Hence, we can focus on designing the parameter server primitive and implementing the parameter update strategies."
Apache Software Foundation,Hasini Witharana,OpenID Connect Authentication Handler for Apache Sling,"This project is about creating an OpenID Connect authentication handler for Apache Sling.  OpenID Connect(OIDC) is an authentication protocol based on OAuth2.0 authorization protocol. I have proposed a methodology to implement a handler that can create authorization code, access token and ID token which can be used to identify end-user and valid authorization."
Apache Software Foundation,Hitesh Gautam,Improve UI and Add Test for Apache Taverna Mobile,"I looked at the Taverna mobile and I found that this app is for anyone who wants to create and run workflows, It basically shows workflow, developed by different users,
this app is to give them a platform by which they can view, that is not at his desk. For
instance, when visiting a conference he might hear about someone's workflow, which
he can quickly locate and add to starred workflows for later exploration.So, In this GSoC 2018 I will write the new tests for this apache taverna mobile application."
Apache Software Foundation,Irindu Nugawela,MongoDB Output Connector for ManifoldCF,The proposed project is to write an output connector for ManifoldCF to allow ManifoldCF to migrate content against a MongoDB instance for better content management.
Apache Software Foundation,Jae Hyeon Park,Implement RESTful API and web ui interface in Nemo,"Apache Nemo (incubating) is a data processing system that supports various deployment characteristics, by easily customizing translation of a dataflow program into a physical execution plan. Supporting RESTful API and web interface can help Apache Nemo to:
* Provide easy way to inspect compiler passes and runtime modules for developers.
* Provide intuitive way to introspect the behaviour of Nemo stack and to make reasonable decision on their configuration for application writers and cluster operators."
Apache Software Foundation,Julio Caguano,ANY23-295  Implement ability to use librdfa,"This project will implement a new RDFa parser for Apache Any23 through a wrapper of the native C/C++ library Librdfa. The implementation aims to evaluate the level of compatibility between both projects and quantify the performance improvement that a native parser could achieve in Any23. In addition, it is proposed to test the integration  results against the rdfa.info test-suit in order to validate the approach. The benefits of implementing a more efficient parser are extremely relevant taking into account that RDFa processing takes place in the web where the amount of data is huge."
Apache Software Foundation,Kai Jiang,Apache Beam: TPC-DS Benchmark for Beam SQL,"Beam has a number of classic streaming SQL benchmarks known as ""Nexmark"" coded up in both raw Java and also Beam SQL.
So far, expanding functionality has been the focus of Beam SQL so there is little known about performance - we know only that it is a pretty straightforward mapping from SQL to Beam that should work OK a lot of the time. It would be interesting to see where the bottlenecks are when these SQL benchmarks are translated via Beam SQL into a Beam pipeline and then again translated to the native capabilities of e.g. Spark and Flink."
Apache Software Foundation,Karan Kotabagi,Integrate NextCloud for Apache Airavata's Data Transfer Use Cases,The goal of this project is to design and implement a Nextcloud module and replace the existing transfer of the files from the client applications via Hypertext Transfer Protocol (HTTP) and Secure File Transfer Protocol (SFTP) with the APIs of this module. The existing protocols to transfer the uploaded files via client application window differ from each other and run in different ways to establish the connection and transfer the files. The existing mechanisms involve the HTTP and SFTP in order to transfer the files from the client window. To effectively enable the unified mechanism and collaboration of the files with the quick and reliable way we plan to implement the file upload using Nextcloud API. The APIs of the Nextcloud will be targeted in order to transfer the files from the client window and save the files to the Nextcloud. The Nextcloud enables the developers to reliably establish and support an unified mechanism to transfer the files from different clients running on the different platforms.
Apache Software Foundation,Kasthuriraajan,Support AMQP protocol for RocketMQ,"The Advanced Message Queuing Protocol (AMQP) is an open standard application layer protocol for message-oriented middle ware. The defining features of AMQP are message orientation, queuing, routing (including point-to-point and publish-and-subscribe), reliability and security.
Support AMQP protocol for RocketMQ has important significance, could expand RocketMQ ecosystem quickly.Since the AMQP is a wire-level protocol, it’s difficult to support it in RocketMQ server directly. So that I have come up with an idea to implement an AMQP proxy server and react with the RocketMQ cluster using RocketMQ client. 
In my solution I have planned to implement an AMQP proxy server. It will function as a proxy server in between the broker and clients(producers, consumers) to support AMQP for RocketMQ."
Apache Software Foundation,Lahiru Jayathilake,Re-architect Output Data Parsing into Airavata core,This provides an opportunity to re-architect the data catalog and build it on new Helix DAG based execution within Airavata.
Apache Software Foundation,Majdi Haouech,Apache Taverna CWL support proposal,"The Common Workflow Language (CWL) aims to standardize workflow languages to execute command line tools on the cloud and on local servers.
Apache Taverna supports specific formats for import and export of workflows, but currently, CWL workflows are not fully supported.
During the GSOC, we intend to provide structural import and export of CWL workflows.
In addition, we intend to provide a way to support some of CWL command line tools inside Taverna and to export Taverna activities."
Apache Software Foundation,Mayar Mahmoud,[ROCKETMQ-377] Implement openwhisk-package-rocketmq to support serverless function,"**OpenWhisk** is an open source implementation of a distributed, event-driven compute
service that allows you to execute code in response to an event. Events can be provided
from Bluemix services like Cloudant and from external sources. One of the popular event
sources is Message Hub and Kafka, both of which can also be used as an effective instrument
to publish events from OpenWhisk to the rest of the world and allow for highly scalable and
performant asynchronous communication for event driven applications.

**Apache RocketMQ** is an open source distributed messaging and streaming data
platform of high availability, low latency, trillion-level message capacity guaranteed, and big
data friendly. 

*The goal of the project is to add **`openwhisk-package-rocketmq`** to the
components of OpenWhisk that allows you to communicate with RocketMQ for publishing
and consuming messages.*"
Apache Software Foundation,PHUONG HAO NGUYEN THI,Implement OGC Catalog Service for the Web(CSW),"This project focus on building about the server side of the Catalog Service for the Web(CSW) is base on OGC Catalogue interface standards use the Apache CXF framework, CXF enables the development of RESTful services via annotations using the HTTP Binding. Using URI templates and annotations that can bind a service operation to arbitrary URL/verb combinations. 
For each new metadata added to the CSW, relevant metadata will been server read only once and stored in a PostgreSQL database. This database would be used by the CSW engine for performing the search. About the client side, I will creat a client application simple, from there, the user can search for metadata they are interested in CSW.
Implementing OGC CSW is not only applicable for VNSC but also for other space agencies in searching images by criteria since the metadata used in this project (provided by VNSC) is largely used by other space agencies. This project aims the web server application would be developed in the Apache SIS application/sis-webapp module."
Apache Software Foundation,Pembe Motia,New Web UI For Apache Fineract CN,"This project is about designing a new web user interface for institutions with Group lending facilities using Apache Fineract CN which will be similar to the one of Mifos X and Gen 1 web app. This design will have a completely different user interface from the the existing fims-web-app. It will not only have the functionalities of the existing fims-web-app but will include functionalities to support microfinance institutions with group and center-based operations. Mindful of what is needed to execute this project, i will put in all my time ( during weekdays and week-ends ) except for the 22 hours of classes that i have every week to make this project idea into a reality."
Apache Software Foundation,Raghu Reddy,Extending Serialization protocols support for Apache Dubbo,"Apache Dubbo is an open-source RPC and micro service framework. Among other things, it helps enhance service governance and makes it possible for a traditional monolith application to be refactored smoothly to a scalable distributed architecture.
	Dubbo’s exsiting serialization API is written with native Java serialization support and JSON which is arguably faster than XML. However for improvisation, this can be implemented with the Google Protocol Buffers commonly known as protobuf which has lightweight API with more efficient serialization protocols
	The goal of this project is to implement an Efficient serialization protocols by creating a extension/library for integration with protobuf which arguably will improve the performance. Thus, this shall become a very useful extension/added feature for OpenSource users with desired functionality."
Apache Software Foundation,Rohan Julka,Support Groovy implementations in the  Netbeans IDE plugin,Apache Syncope allows customization of its behaviour using Groovy scripts this is done so that the Syncope behaviour can be customized at runtime. It has already been implemented in the Syncope console. The objective of this project is to implement this feature in the Syncope NetBeans IDE plugin . This will allow the users to manage groovy scripts using the NetBeans IDE plugin.
Apache Software Foundation,Ruphine Kengne,Group Loan Management Service,"This project is about building a Group Loan Management Service web UI within the fims-web-app to consume the existing APIs of the Group microservice on Apache Fineract CN and then extending the microservice to include more features needed for full Joint Group Loan Management. The latter phase requires full understanding of how Groups and Loans functions on Mifos X and detailed knowledge of the Apache Fineract CN to replicate some of the Group features such as Joint Group Loan Management and Joint Liability Group within the context of Apache Fineract CN which I am committed to do. Beside the 21 hours of school classes every week, i will dedicate the rest of my time and my weekends to learning and implementing this project and will continue contributing to the community after this summer period."
Apache Software Foundation,Sergio Esteves,Implementing integration plugins in RocketMQ for HBase and Beam,"This proposal aims at designing, implementing and evaluating plugins that integrate RocketMQ with both the HBase data store and the Beam data processing model. These integration plugins will improve RocketMQ offline storage capabilities and benefit users with stringent large-scale and data-intensive processing needs. End results of this proposal include HBase and Beam plugin implementations, as well as exhaustive unit tests, application examples and documentation."
Apache Software Foundation,Talat UYARER,Redis Implementation For Gora,"Redis is an open source (BSD licensed), in-memory data structure store, used as a database, cache and message broker. This project will implement redis datastore to Gora."
Apache Software Foundation,Tzu-Chiao Yeh,"OpenWhisk performance improvement - work stealing, priority-based scheduling on load balancer and direct connection for streaming capabilities.","The emergence of serverless computing moves cloud/edge to the next generation of resource sharing: function as a service. The innovation makes developer released from provisioning, updating, and managing servers under flexible scalability and fault tolerance. Also, the most influential outcome is no computing cost when idle, which is also known as pay as you go model.
 
However, the performance is under critical to be improved, i.e., more servers required in existed serverless platform, high and not predictable round-trip latency, especially under high concurrency and keeping dependable.

Here come some places to improvement, including shortened path, performance improvement on invoker, serialization elimination, and scheduling. In the first step, the picked-up topic: **_work-stealing and priority-based scheduling and direct connection for streaming capabilities_** will be a great and valuable choice.

Goal on this project
1.	Work-stealing scheduling on load balancer.
2.	Direct connection for stream support.
3.	Priority-based work-stealing scheduling.
4.	Comprehensive tests to avoid bugs on concurrency and distributed failure.
5.	Performance tests and optimization."
Apache Software Foundation,Yasas Gunarathne,[AIRAVATA-2717] [GSoC] Resurrect User-Defined Airavata Workflows,"Apache Airavata used to support user-defined workflows using the XBaya interface, to drag and drop application components to a workspace and define data flow and control flow dependencies among the application nodes. Airavata has evolved significantly and currently it only supports single job submissions through Orchestrator. But the current development version is being built-over Apache Helix for DAG orchestration. This provides an opportunity to resurrect workflow capabilities in Airavata. This GSoC project consists of the following sub tasks.

- Finalizing the Airavata Workflow Language.
- Modifying the Orchestrator to parse user-defined workflow and translate to equivalent Helix DAGs, execute the workflow, and monitor it at runtime.
- Developing a simple GUI to demonstrate the capabilities."
Apache Software Foundation,imane ankhila,Proposal for Apache JMeter (COMDEV-284 ),A proposal to integrate HTTP 2 protocol on Apache  JMeter using HC5 APIs.
Apache Software Foundation,ssirowa,GSOC 2018 SpamAssassin Statistical Classifier Plugin,"Apache SpamAssassin is an Open Source anti-spam platform giving system administrators a filter to classify email and block ""spam""(unsolicited bulk mail). Presently SA uses Bayes Classifier together with some additional DNS filters to check for spam. 
The Bayes Classifier Approach used can run into problems like 'Bayes Poisoning' where using some legitimate ""ham"" words used in a Spam email can decrease the effectiveness of the Model. Also The learning rate of spam classifier using Naïve Bayes as machine learning algorithm is low as it depends on probability model to learn.
I’m proposing to build a statistical classifier plugin that will include various supervised and unsupervised learning algorithms with the focus being on neural nets, SVM(Support Vector Machines), HMM(Hidden Markov Model). 
The user can activate any number of models of the plugin and overall filtering will be done based on the combined scores of the active models of this plugin. This is in accordance to the fact the some algorithms work better than the others in different situations. The user can select what all models does he want to activate."
Apertium,Abinash Senapati,Extend lttoolbox to have the power of HFST,The aim of this project is to implement the support for morphographemics and weights in the lttoolbox transducer. The proposal focuses on extending lttoolbox to perform the complex morphological transformations and weight based analyses currently done in HFST and writing a module that translates the current HFST format to the new lttoolbox format.
Apertium,Anastasia Kuznetsova,Adoption of Guarani - Spanish pair,"Guarani is one of the most widely spread indigenous languages of southern South America. It is spoken by 6 million people in Paraguay (where it is one of the official languages), Brazil, Argentina and Bolivia. Guarani translators are present online, but there is no rule-based translator with morphological analysis, which could be more plausible than translators made from Spanish/Portuguese - Guarani parallel corpora. So I believe we can improve the quality of translation by applying rule-based model."
Apertium,Anna Kondratjeva,Improving language pairs by mining MediaWiki Content Translation postedits,"The purpose of this proposal is to create a toolbox for automatic improvement of lexical component of a language pair. This toolbox might become a great way of improving language pairs by filling gaps in dictionaries and reducing the amount of human work at the same time. Even the released Apertium pairs are not perfect and sometimes do mistakes that can be easily fixed.

The idea is to mine existing machine translation postediting data in Mediawiki Content Translation, extract a set of potential postediting operators and then study and turn these operators into information that can be inserted in Apertium language pair (in form of monodix/bidix entries, lexical selection rules, transfer rules and so on)."
Apertium,Anna Zueva,Tatar and Bashkir: developing a language pair,"The tat-bak language pair already exists in Apertium, but is now in the nursery state. The aim of my project is to develop this language pair,  fill the dictionaries, add rules and significantly improve the quality of translations."
Apertium,Arghya Bhattacharya,Python API/library for Apertium,Implement a Python library for Apertium and Lttoolbox.
Apertium,Claude Balaguer,Fra-oci/oci-fra translator,"I intend to work on a French-Occitan translation pair in order to provide a new translator, which will be useful first to the Occitan community but also to the French people willing to learn more about the Occitan culture and language. It will address more specifically the Occitan Wikipedia users so they can add, work, and improve new articles with a greater ease and speed."
Apertium,Elena Sokur,Adopting an Udmurt-Komi-Zyrian language pair,The udm-kpv language pair is in the incubator now. The task is to create bilingual dictionary and transfer rules for making it usable in production.
